level,storage,inflow,rainfall,outflow,label
140.0,3231.0,0.0,0.0,0.0,0
136.7,2161.0,2384.0,41.0,0.0,0
137.1,2268.0,1238.0,7.0,0.0,0
137.4,2351.0,961.0,2.0,0.0,0
137.52,2384.0,382.0,0.0,0.0,0
137.66,2424.0,463.0,4.0,0.0,0
137.73,2444.0,231.0,0.0,0.0,0
137.77,2455.0,127.0,0.0,0.0,0
137.81,2466.0,127.0,0.0,0.0,0
137.85,2478.0,139.0,0.0,0.0,0
137.89,2489.0,229.0,0.0,0.0,0
137.93,2501.0,270.0,0.0,0.0,0
137.93,2518.0,312.0,0.0,0.0,0
138.02,2527.0,342.0,0.0,0.0,0
138.1,2550.0,355.0,1.0,0.0,0
138.3,2609.0,683.0,45.0,0.0,0
138.78,2755.0,1690.0,60.0,0.0,0
139.01,2826.0,4176.0,16.0,4870.0,0
139.0,2823.0,754.0,5.0,487.0,0
139.0,2823.0,974.0,0.0,974.0,0
139.02,2829.0,313.0,0.0,244.0,0
139.02,2829.0,488.0,0.0,488.0,0
139.01,2826.0,453.0,0.0,488.0,0
139.56,3002.0,2037.0,0.0,0.0,0
139.61,3018.0,3202.0,0.0,994.0,0
139.72,3054.0,2405.0,0.0,1958.0,0
139.29,2915.0,2848.0,0.0,4457.0,0
139.0,2823.0,4168.0,0.0,4457.0,0
139.0,2823.0,1945.0,1.0,1945.0,0
139.17,2877.0,65.0,12.0,0.0,0
139.4,2950.0,840.0,6.0,0.0,0
139.77,3073.0,2785.0,0.0,2982.0,0
139.87,3104.0,1353.0,0.0,994.0,0
139.93,3124.0,1719.0,0.0,1488.0,0
139.25,2902.0,2010.0,13.0,4464.0,0
139.36,2937.0,902.0,2.0,994.0,0
139.51,2986.0,567.0,2.0,0.0,0
139.64,3028.0,486.0,0.0,0.0,0
139.72,3054.0,301.0,0.0,0.0,0
139.81,3087.0,382.0,0.0,0.0,0
139.83,3093.0,69.0,0.0,0.0,0
139.87,3104.0,127.0,0.0,0.0,0
13991.0,3118.0,162.0,0.0,0.0,0
139.95,3131.0,150.0,0.0,0.0,0
139.97,3148.0,200.0,0.0,0.0,0
139.99,3205.0,285.0,0.0,0.0,0
140.0,3231.0,185.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
140.0,3231.0,0.0,0.0,0.0,0
139.98,3171.0,0.0,0.0,0.0,0
139.97,3145.0,0.0,0.0,0.0,0
139.94,3128.0,0.0,0.0,0.0,0
139.9,3114.0,0.0,0.0,0.0,0
139.88,3107.0,0.0,0.0,0.0,0
139.83,3093.0,0.0,0.0,0.0,0
139.8,3085.0,0.0,0.0,0.0,0
139.78,3077.0,0.0,0.0,0.0,0
139.76,3069.0,0.0,0.0,0.0,0
139.72,3055.0,0.0,0.0,0.0,0
139.69,3045.0,0.0,0.0,0.0,0
139.66,3035.0,0.0,0.0,0.0,0
139.63,3025.0,0.0,0.0,0.0,0
139.6,3015.0,0.0,0.0,0.0,0
139.58,3009.0,0.0,0.0,0.0,0
139.56,3002.0,0.0,0.0,0.0,0
139.54,2995.0,0.0,0.0,0.0,0
139.52,2989.0,0.0,0.0,0.0,0
139.5,2982.0,0.0,0.0,0.0,0
139.47,2973.0,0.0,0.0,0.0,0
139.44,2963.0,0.0,0.0,0.0,0
139.41,2953.0,0.0,0.0,0.0,0
139.38,2944.0,0.0,0.0,0.0,0
139.34,2931.0,0.0,0.0,0.0,0
139.31,2921.0,0.0,0.0,0.0,0
139.28,2912.0,0.0,0.0,0.0,0
139.26,2905.0,0.0,0.0,0.0,0
139.23,2896.0,0.0,0.0,0.0,0
139.21,2889.0,0.0,0.0,0.0,0
139.19,2883.0,0.0,0.0,0.0,0
139.17,2877.0,0.0,0.0,0.0,0
139.14,2867.0,0.0,0.0,0.0,0
139.11,2858.0,0.0,0.0,0.0,0
139.09,2851.0,0.0,0.0,0.0,0
139.06,2842.0,0.0,0.0,0.0,0
138.98,2817.0,0.0,0.0,391.0,0
138.86,2779.0,0.0,0.0,391.0,0
138.74,2742.0,0.0,0.0,391.0,0
138.62,2706.0,0.0,0.0,391.0,0
138.5,2669.0,0.0,0.0,391.0,0
138.38,2633.0,0.0,0.0,391.0,0
138.25,2595.0,0.0,0.0,391.0,0
138.35,2624.0,0.0,34.0,450.0,0
138.33,2618.0,0.0,0.0,0.0,0
138.25,2595.0,0.0,0.0,385.0,0
138.13,2559.0,0.0,0.0,385.0,0
138.01,2524.0,0.0,0.0,385.0,0
137.88,2487.0,0.0,0.0,385.0,0
137.76,2452.0,0.0,0.0,385.0,0
137.63,2415.0,0.0,0.0,385.0,0
137.5,2379.0,0.0,2.0,385.0,0
137.38,2345.0,0.0,0.0,385.0,0
137.25,2309.0,0.0,0.0,385.0,0
137.17,2287.0,0.0,0.0,0.0,0
137.14,2279.0,0.0,0.0,250.0,0
137.18,2290.0,513.0,37.0,385.0,0
137.05,2254.0,0.0,0.0,385.0,0
136.92,2219.0,0.0,0.0,385.0,0
136.79,2185.0,0.0,0.0,385.0,0
136.65,2148.0,0.0,0.0,385.0,0
136.52,2113.0,0.0,0.0,385.0,0
136.18,2026.0,1157.0,28.0,0.0,0
136.5,2108.0,949.0,24.0,0.0,0
136.82,2193.0,984.0,30.0,0.0,0
137.0,2241.0,556.0,0.0,0.0,0
137.09,2265.0,278.0,3.0,90.0,0
137.18,2290.0,379.0,4.0,90.0,0
137.21,2298.0,183.0,0.0,90.0,0
137.21,2298.0,90.0,1.0,90.0,0
137.21,2298.0,90.0,0.0,90.0,0
137.21,2298.0,90.0,6.0,90.0,0
137.15,2282.0,0.0,0.0,0.0,0
137.15,2282.0,90.0,4.0,90.0,0
137.2,2295.0,240.0,6.0,90.0,0
137.2,2295.0,90.0,1.0,90.0,0
137.22,2301.0,159.0,4.0,90.0,0
137.21,2298.0,55.0,0.0,90.0,0
137.21,2298.0,90.0,11.0,90.0,0
137.21,2298.0,90.0,6.0,90.0,0
137.2,2295.0,55.0,0.0,90.0,0
137.2,2295.0,90.0,9.0,90.0,0
137.18,2290.0,32.0,2.0,90.0,0
137.19,2293.0,95.0,8.0,60.0,0
137.27,2315.0,315.0,14.0,60.0,0
137.32,2329.0,162.0,9.0,0.0,0
137.35,2337.0,93.0,0.0,0.0,0
137.42,2356.0,220.0,0.0,0.0,0
137.44,2362.0,69.0,0.0,0.0,0
137.46,2367.0,58.0,0.0,0.0,0
137.47,2370.0,35.0,0.0,0.0,0
137.46,2367.0,0.0,0.0,0.0,0
137.45,2365.0,0.0,0.0,0.0,0
137.45,2365.0,0.0,0.0,0.0,0
137.44,2362.0,0.0,0.0,0.0,0
137.42,2356.0,0.0,0.0,0.0,0
137.41,2354.0,0.0,0.0,0.0,0
137.4,2351.0,0.0,0.0,0.0,0
137.4,2351.0,0.0,0.0,0.0,0
137.39,2348.0,0.0,0.0,0.0,0
137.37,2342.0,0.0,0.0,0.0,0
137.34,2334.0,0.0,0.0,0.0,0
137.31,2326.0,0.0,0.0,0.0,0
137.29,2320.0,0.0,0.0,0.0,0
137.27,2315.0,0.0,0.0,0.0,0
137.25,2309.0,0.0,0.0,0.0,0
137.44,2362.0,613.0,16.0,0.0,0
137.78,2458.0,1111.0,69.0,0.0,0
138.01,2524.0,764.0,0.0,0.0,0
138.09,2547.0,266.0,0.0,0.0,0
138.15,2565.0,208.0,0.0,0.0,0
138.21,2583.0,217.0,0.0,0.0,0
138.27,2600.0,254.0,0.0,0.0,0
138.38,2633.0,355.0,0.0,0.0,0
138.5,2669.0,475.0,0.0,0.0,0
138.61,2703.0,568.0,0.0,0.0,0
138.74,2742.0,579.0,2.0,0.0,0
138.87,2782.0,592.0,3.0,0.0,0
139.0,2823.0,587.0,0.0,262.0,0
139.03,2832.0,583.0,0.0,400.0,0
139.07,2845.0,628.0,0.0,450.0,0
139.12,2861.0,698.0,0.0,500.0,0
139.14,2867.0,705.0,0.0,500.0,0
139.19,2883.0,693.0,0.0,500.0,0
139.23,2896.0,698.0,0.0,500.0,0
139.26,2905.0,707.0,0.0,500.0,0
139.3,2918.0,702.0,0.0,500.0,0
139.33,2928.0,698.0,0.0,500.0,0
139.37,2940.0,710.0,0.0,500.0,0
139.4,2950.0,724.0,0.0,500.0,0
139.44,2963.0,724.0,0.0,500.0,0
139.47,2973.0,707.0,0.0,500.0,0
139.51,2986.0,677.0,0.0,500.0,0
139.5,2983.0,685.0,0.0,650.0,0
139.47,2973.0,618.0,0.0,650.0,0
139.45,2966.0,648.0,0.0,700.0,0
139.42,2958.0,618.0,0.0,790.0,0
139.37,2940.0,548.0,0.0,590.0,0
139.3,2918.0,452.0,0.0,590.0,0
139.24,2899.0,446.0,0.0,590.0,0
