date,level,storage,inflow,outflow,rainfall
01/01/2004,115,3.9,0,0,0
02/01/2004,115,3.9,0,0,0
03/01/2004,115,3.9,0,0,0
04/01/2004,115,3.9,0,0,0
05/01/2004,114.97,3.8,0,0,0
06/01/2004,114.97,3.8,0,0,0
07/01/2004,114.97,3.8,0,0,0
08/01/2004,114.94,3.7,0,0,0
09/01/2004,114.94,3.7,0,0,0
10/01/2004,114.94,3.7,0,0,0
11/01/2004,114.9,3.6,0,0,0
12/01/2004,114.9,3.6,0,0,0
13/01/2004,114.9,3.6,0,0,0
14/01/2004,114.87,3.5,0,0,0
15/01/2004,114.87,3.5,0,0,0
16/01/2004,114.83,3.4,0,0,0
17/01/2004,114.83,3.4,0,0,0
18/01/2004,114.83,3.4,0,0,0
19/01/2004,114.83,3.4,0,0,0
20/01/2004,114.83,3.4,0,0,0
21/01/2004,114.79,3.3,0,0,0
22/01/2004,114.79,3.3,0,0,0
23/01/2004,114.79,3.3,0,0,0
24/01/2004,114.79,3.3,0,0,0
25/01/2004,114.75,3.2,0,0,0
26/01/2004,114.75,3.2,0,0,0
27/01/2004,115,3.9,8,0,31
28/01/2004,115.35,4.9,11,0,33
29/01/2004,115.35,4.9,0,0,0
30/01/2004,115.35,4.9,0,0,0
31/01/2004,115.3,4.8,0,0,0
01/02/2004,115.3,4.8,0,0,0
02/02/2004,115.3,4.8,0,0,0
03/02/2004,115.27,4.7,0,0,0
04/02/2004,115.27,4.7,0,0,0
05/02/2004,115.27,4.7,0,0,0
06/02/2004,115.23,4.6,0,0,0
07/02/2004,115.23,4.6,0,0,0
08/02/2004,115.23,4.6,0,0,0
09/02/2004,115.2,4.5,0,0,0
10/02/2004,115.2,4.5,0,0,0
11/02/2004,115.2,4.5,0,0,0
12/02/2004,115.17,4.4,0,0,0
13/02/2004,115.17,4.4,0,0,0
14/02/2004,115.17,4.4,0,0,0
15/02/2004,115.14,4.3,0,0,0
16/02/2004,115.14,4.3,0,0,0
17/02/2004,115.1,4.2,0,0,0
18/02/2004,115.14,4.3,10,0,0
19/02/2004,115.2,4.5,5,0,0
20/02/2004,115.3,4.8,4,0,0
21/02/2004,115.3,4.8,0,0,0
22/02/2004,115.3,4.8,0,0,0
23/02/2004,115.27,4.7,0,0,0
24/02/2004,115.27,4.7,0,0,0
25/02/2004,115.27,4.7,0,0,0
26/02/2004,115.23,4.6,0,0,0
27/02/2004,115.23,4.6,0,0,0
28/02/2004,115.2,4.5,0,0,0
29/02/2004,115.2,4.5,0,0,0
01/03/2004,115.17,4.4,0,0,0
02/03/2004,115.17,4.4,0,0,0
03/03/2004,115.14,4.3,0,0,0
04/03/2004,115.14,4.3,0,0,0
05/03/2004,115.1,4.2,0,0,0
06/03/2004,115.1,4.2,0,0,0
07/03/2004,115.07,4.2,0,0,0
08/03/2004,115.07,4.1,0,0,0
09/03/2004,115.92,6.96,57,30,0
10/03/2004,116.84,10.9,105,55,0
11/03/2004,117.52,14.4,102,63,0
12/03/2004,117.71,15.4,97,90,0
13/03/2004,117.86,16.2,101,90,0
14/03/2004,118.22,18.4,116,90,0
15/03/2004,118.6,21,132,90,0
16/03/2004,118.89,23.4,128,90,0
17/03/2004,119.09,25.2,119,90,0
18/03/2004,119.15,25.7,102,90,0
19/03/2004,118.96,24,76,90,0
20/03/2004,118.54,20.6,57,90,0
21/03/2004,118.01,17.1,52,90,0
22/03/2004,117.21,12.7,40,90,0
23/03/2004,116.65,10,42,73,0
24/03/2004,116.47,9.2,52,61,0
25/03/2004,116.53,9.5,65,63,0
26/03/2004,116.55,9.6,65,63,0
27/03/2004,116.55,9.6,63,63,0
28/03/2004,116.45,9.1,59,63,0
29/03/2004,116.31,8.5,45,52,0
30/03/2004,116.16,7.9,41,47,0
31/03/2004,116.16,7.9,40,40,0
01/04/2004,116.16,7.9,40,40,0
02/04/2004,116.2,8.1,45,42,0
03/04/2004,116.27,8.3,46,43,0
04/04/2004,116.07,7.5,29,37,0
05/04/2004,115.81,6.5,10,21,0
06/04/2004,115.56,5.6,6,15,0
07/04/2004,115.5,5.4,8,14,20
08/04/2004,115.61,5.8,20,15,0
09/04/2004,115.89,6.8,38,25,0
10/04/2004,116.1,7.7,44,33,0
11/04/2004,116.15,7.9,36,33,0
12/04/2004,115.95,7.1,21,29,0
13/04/2004,115.7,6.2,10,19,0
14/04/2004,115.59,5.8,11,16,0
15/04/2004,115.58,5.7,11,11,0
16/04/2004,115.5,5.4,3,5,0
17/04/2004,115.38,5,0,3,0
18/04/2004,115.3,4.8,0,3,0
19/04/2004,115.27,4.7,0,0,1
20/04/2004,115.24,4.6,0,0,0
21/04/2004,115.2,4.5,0,0,0
22/04/2004,115.17,4.4,0,0,0
23/04/2004,115.14,4.3,0,0,0
24/04/2004,115.1,4.2,0,0,0
25/04/2004,115.07,4.1,0,0,0
26/04/2004,115.04,4,0,0,0
27/04/2004,115,3.9,0,0,0
28/04/2004,114.97,3.8,0,0,0
29/04/2004,114.93,3.7,0,0,0
30/04/2004,114.9,3.6,0,0,0
01/05/2004,114.86,3.5,0,0,0
02/05/2004,114.83,3.4,0,0,0
03/05/2004,114.83,3.4,0,0,21
04/05/2004,115.43,5.2,21,0,91
05/05/2004,115.91,6.9,20,0,30
06/05/2004,116.35,8.7,21,0,15
07/05/2004,116.2,8.1,15,45,9
08/05/2004,115.8,6.5,15,33,0
09/05/2004,115.5,5.4,8,20,4
10/05/2004,115.21,4.5,6,15,0
11/05/2004,115.14,4.3,0,5,0
12/05/2004,115.14,4.3,0,0,0
13/05/2004,115.1,4.2,0,0,0
14/05/2004,115.07,4.1,0,0,0
15/05/2004,115.04,4,0,0,0
16/05/2004,115,3.9,0,0,0
17/05/2004,115.75,6.3,28,0,45
18/05/2004,116,7.3,12,0,0
19/05/2004,116.1,7.7,5,0,0
20/05/2004,116.1,7.7,5,0,0
21/05/2004,116.1,7.7,0,0,0
22/05/2004,116.08,7.6,0,0,0
23/05/2004,116.08,7.6,0,0,2
24/05/2004,116.14,7.8,2,0,3
25/05/2004,116.2,8.1,3,0,0
26/05/2004,116.25,8.3,3,0,0
27/05/2004,115.82,6.6,3,45,0
28/05/2004,115.23,4.6,2,25,0
29/05/2004,115.08,4.1,0,5,0
30/05/2004,114.96,3.7,0,0,3
31/05/2004,114.96,3.7,0,0,0
01/06/2004,115.2,4.5,0,9,5
02/06/2004,115.3,4.8,4,0,9
03/06/2004,115.35,4.9,1,0,4
04/06/2004,115.35,4.9,0,0,0
05/06/2004,115.35,4.9,0,0,2
06/06/2004,115.35,4.9,0,0,0
07/06/2004,115.3,4.8,0,0,0
08/06/2004,115.4,5.1,3,0,5
09/06/2004,115.65,6,10,0,19
10/06/2004,115.75,6.3,4,0,2
11/06/2004,115.9,6.9,7,0,6
12/06/2004,115.95,7.1,2,0,0
13/06/2004,115.95,7.1,0,0,0
14/06/2004,115.95,7.1,0,0,0
15/06/2004,115.92,7,0,0,0
16/06/2004,115.9,6.9,0,0,0
17/06/2004,115.87,6.8,0,0,0
18/06/2004,115.84,6.7,0,0,0
19/06/2004,115.82,6.6,0,0,0
20/06/2004,115.79,6.5,0,0,0
21/06/2004,115.76,6.4,0,0,0
22/06/2004,115.72,6.3,0,0,0
23/06/2004,115.69,6.2,0,0,0
24/06/2004,115.66,6,0,0,0
25/06/2004,115.63,5.9,0,0,0
26/06/2004,115.6,5.8,0,0,0
27/06/2004,115.58,5.7,0,0,0
28/06/2004,115.56,5.6,0,0,0
