storage,inflow,discharge
1344.0,100.0,627.0
1295.0,100.0,627.0
1246.0,250.0,577.0
1173.0,0.0,841.0
1149.0,300.0,422.0
1149.0,100.0,76.0
1124.0,0.0,77.0
1100.0,0.0,76.0
1100.0,100.0,77.0
1100.0,100.0,76.0
1124.0,850.0,662.0
1149.0,850.0,664.0
1149.0,750.0,738.0
1149.0,400.0,399.0
1149.0,400.0,399.0
1124.0,400.0,591.0
1124.0,400.0,392.0
1124.0,200.0,196.0
1124.0,200.0,196.0
1124.0,200.0,196.0
1149.0,300.0,110.0
1173.0,300.0,110.0
1222.0,600.0,220.0
1295.0,650.0,77.0
1368.0,675.0,76.0
1368.0,275.0,267.0
1415.0,450.0,77.0
1465.0,450.0,77.0
1465.0,150.0,126.0
1465.0,150.0,130.0
1465.0,125.0,125.0
1465.0,125.0,117.0
1465.0,125.0,115.0
1465.0,125.0,113.0
1465.0,100.0,100.0
1465.0,100.0,100.0
1465.0,100.0,90.0
1465.0,100.0,92.0
1465.0,100.0,89.0
1465.0,100.0,91.0
1465.0,100.0,90.0
1465.0,100.0,90.0
1465.0,100.0,90.0
1465.0,100.0,90.0
1465.0,100.0,90.0
1465.0,100.0,90.0
1465.0,100.0,90.0
1465.0,100.0,86.0
1465.0,100.0,87.0
1465.0,100.0,87.0
1465.0,100.0,79.0
1465.0,100.0,87.0
1453.0,0.0,91.0
1441.0,0.0,85.0
1429.0,0.0,85.0
1416.0,0.0,86.0
1404.0,0.0,85.0
1392.0,0.0,86.0
1380.0,0.0,85.0
1368.0,0.0,85.0
1356.0,0.0,85.0
1344.0,0.0,85.0
1331.0,0.0,86.0
1319.0,0.0,85.0
1307.0,0.0,85.0
1295.0,0.0,72.0
1283.0,0.0,86.0
1271.0,0.0,86.0
1258.0,0.0,86.0
1246.0,0.0,87.0
1234.0,0.0,86.0
1295.0,700.0,77.0
1441.0,600.0,761.0
1465.0,100.0,74.0
1465.0,100.0,77.0
1465.0,100.0,77.0
1465.0,100.0,77.0
1465.0,100.0,77.0
1441.0,0.0,97.0
1429.0,0.0,77.0
1416.0,0.0,77.0
1416.0,100.0,77.0
1404.0,0.0,77.0
1392.0,30.0,77.0
1368.0,0.0,77.0
1356.0,0.0,77.0
1344.0,0.0,77.0
1319.0,0.0,95.0
1307.0,0.0,74.0
1295.0,0.0,76.0
1283.0,0.0,76.0
1271.0,0.0,76.0
1271.0,100.0,75.0
1271.0,100.0,76.0
1271.0,100.0,76.0
1271.0,100.0,75.0
1271.0,100.0,77.0
1271.0,100.0,76.0
1271.0,100.0,76.0
1271.0,100.0,76.0
1271.0,100.0,76.0
1271.0,100.0,74.0
1258.0,0.0,75.0
1246.0,0.0,76.0
1234.0,0.0,75.0
1210.0,0.0,96.0
1197.0,0.0,76.0
1185.0,0.0,73.0
1173.0,0.0,76.0
1149.0,0.0,75.0
1124.0,0.0,75.0
1100.0,0.0,76.0
1076.0,0.0,75.0
1051.0,0.0,75.0
1027.0,0.0,76.0
1003.0,0.0,76.0
978.0,0.0,75.0
967.0,0.0,71.0
957.0,0.0,74.0
946.0,0.0,77.0
935.0,0.0,75.0
924.0,0.0,75.0
914.0,0.0,76.0
892.0,0.0,75.0
871.0,0.0,76.0
849.0,0.0,77.0
828.0,0.0,76.0
806.0,0.0,67.0
785.0,0.0,75.0
763.0,0.0,77.0
742.0,0.0,76.0
720.0,0.0,76.0
704.0,0.0,76.0
687.0,0.0,76.0
671.0,0.0,76.0
687.0,0.0,75.0
671.0,0.0,77.0
655.0,0.0,76.0
638.0,0.0,77.0
623.0,0.0,76.0
605.0,0.0,74.0
589.0,0.0,67.0
573.0,0.0,75.0
556.0,0.0,75.0
540.0,0.0,77.0
532.0,0.0,77.0
523.0,0.0,77.0
507.0,0.0,77.0
491.0,0.0,76.0
474.0,0.0,76.0
458.0,0.0,75.0
441.0,0.0,75.0
425.0,0.0,73.0
409.0,0.0,76.0
400.0,0.0,73.0
392.0,0.0,72.0
384.0,0.0,72.0
376.0,0.0,73.0
368.0,0.0,73.0
359.0,0.0,73.0
343.0,0.0,73.0
335.0,0.0,70.0
327.0,0.0,67.0
310.0,0.0,66.0
294.0,0.0,71.0
277.0,0.0,64.0
261.0,0.0,62.0
245.0,0.0,63.0
220.0,0.0,59.0
195.0,0.0,60.0
187.0,0.0,59.0
179.0,0.0,58.0
175.0,0.0,62.0
187.0,200.0,62.0
204.0,200.0,63.0
220.0,200.0,66.0
236.0,200.0,67.0
261.0,350.0,68.0
277.0,200.0,65.0
294.0,200.0,66.0
286.0,0.0,65.0
310.0,350.0,66.0
318.0,200.0,64.0
327.0,150.0,51.0
335.0,175.0,74.0
343.0,175.0,75.0
351.0,175.0,72.0
376.0,375.0,75.0
368.0,0.0,74.0
376.0,175.0,76.0
392.0,275.0,75.0
392.0,100.0,76.0
392.0,100.0,74.0
400.0,175.0,76.0
400.0,100.0,75.0
400.0,100.0,74.0
400.0,100.0,74.0
400.0,100.0,75.0
400.0,100.0,74.0
409.0,200.0,70.0
425.0,275.0,73.0
441.0,275.0,74.0
458.0,275.0,75.0
482.0,375.0,73.0
507.0,375.0,72.0
556.0,650.0,74.0
605.0,650.0,75.0
623.0,275.0,75.0
638.0,275.0,76.0
655.0,275.0,76.0
663.0,100.0,75.0
671.0,100.0,75.0
679.0,100.0,76.0
679.0,100.0,75.0
679.0,100.0,77.0
679.0,100.0,76.0
679.0,100.0,76.0
679.0,100.0,75.0
679.0,100.0,48.0
679.0,100.0,74.0
679.0,100.0,76.0
679.0,100.0,77.0
679.0,100.0,77.0
679.0,100.0,76.0
679.0,100.0,76.0
679.0,100.0,76.0
679.0,100.0,76.0
679.0,100.0,77.0
679.0,100.0,77.0
671.0,0.0,77.0
671.0,100.0,77.0
671.0,100.0,77.0
687.0,300.0,66.0
704.0,300.0,77.0
785.0,500.0,74.0
849.0,650.0,77.0
914.0,650.0,76.0
978.0,650.0,75.0
1051.0,650.0,75.0
1100.0,450.0,73.0
1149.0,650.0,223.0
1173.0,400.0,204.0
1197.0,400.0,204.0
1222.0,400.0,205.0
1222.0,350.0,326.0
1173.0,400.0,786.0
1124.0,400.0,773.0
1076.0,350.0,734.0
1003.0,350.0,941.0
957.0,350.0,903.0
914.0,300.0,769.0
892.0,350.0,597.0
871.0,350.0,604.0
